Solar_Power,rh,eto,etr,rso,ea_avg,precip,rh_max,rh_min,td_avg,td_max,td_min,co2_avg,ppf_avg,solarmj,wet_pct,airt_avg,airt_max,airt_min,lwdn_avg,lwup_avg,pressure,swdn_avg,swup_avg,windd_sd,windd_avg,winds_avg,winds_max,netrad_avg,visibilitymiles,surfacet1_avg,surfacet2_avg,visibilitymiles_avg,pressurekpasealevel
52212.0,20,0.027000000000000003,0.031,3.518,0.968,0.0,25,15,43.5,49.5,37.8,425.4,2050.0,3.398,0,88.7,91.0,86.2,504.7,410.0,86.1,202.9,992.0,58.0,296.0,2.908,10.066,694.6,17.771,92.1,95.0,18.765,101.6
52593.0,18,0.029,0.033,3.472,0.848,0.0,20,15,40.3,46.4,37.0,423.2,2005.0,3.329,0,90.5,91.8,89.4,504.6,411.6,86.0,202.0,975.0,60.0,293.0,3.355,10.737,679.8,12.675999999999998,91.0,94.8,18.765,101.5
42190.0,16,0.027000000000000003,0.031,2.782,0.8420000000000001,0.0,18,13,40.1,43.7,34.9,425.0,1568.0,2.63,0,91.2,92.7,90.1,498.4,408.9,85.9,179.0,772.0,67.0,297.0,2.684,10.514,503.5,19.884,86.7,93.9,19.014,101.4
33399.0,16,0.022,0.026,2.202,0.782,0.0,19,13,38.1,44.4,34.9,426.4,1221.0,2.083,0,91.0,92.5,89.8,488.6,404.3,85.8,152.0,606.3,77.0,277.0,2.237,10.066,370.0,19.884,85.1,88.9,19.573,101.3
22369.0,23,0.017,0.02,1.534,0.826,0.0,32,14,39.6,55.8,36.1,427.8,830.0,1.469,0,89.4,91.6,80.8,469.9,396.3,85.8,109.1,416.8,69.0,300.0,1.5659999999999998,9.171,234.1,19.884,83.5,78.1,19.014,101.3
11111.0,18,0.011,0.013,0.8280001,0.857,0.0,22,14,40.5,47.1,36.5,429.4,508.0,1.144,0,88.3,91.0,82.9,449.4,390.1,85.8,41.14,286.0,55.0,279.0,0.895,4.25,185.5,19.635,77.5,70.3,19.2,101.3
3799.0,21,0.006999999999999999,0.008,0.203,0.879,0.0,25,16,41.2,44.2,37.6,434.5,94.3,0.225,0,84.4,89.2,80.8,430.1,377.2,85.8,2.1180000000000003,36.52,41.0,311.0,0.895,4.25,-18.47,19.884,69.1,66.7,19.76,101.3
3510.0,41,0.004,0.006,0.09,0.8390000000000001,0.0,42,40,39.9,40.3,39.7,452.7,31.28,0.04,0,63.9,65.3,63.1,387.8,332.9,86.0,2.565,9.55,63.0,117.0,4.25,15.211,-47.99,19.884,56.5,56.5,19.822,101.5
8400.0,43,0.003,0.005,0.6390001000000001,0.857,0.0,46,39,40.5,43.3,39.7,451.5,96.4,0.125,0,64.9,66.6,63.5,391.2,335.0,86.0,6.247000000000001,36.55,60.0,67.0,4.25,18.567,-25.89,19.884,57.7,57.6,19.822,101.5
18935.0,38,0.004,0.006,1.332,0.902,0.0,40,35,41.9,43.3,40.8,444.8,615.0,1.087,0,68.9,72.0,66.2,407.9,350.4,86.0,55.3,320.2,50.0,134.0,3.579,11.632,207.4,19.884,61.2,65.1,19.76,101.6
30601.0,40,0.009000000000000001,0.012,2.014,1.104,0.0,46,33,46.9,52.7,42.6,449.4,1103.0,1.895,0,73.0,74.8,71.6,444.9,367.7,86.0,132.3,549.4,55.0,62.0,3.132,13.869000000000002,339.9,17.088,75.9,76.1,18.765,101.5
38145.0,45,0.015,0.018000000000000002,2.603,1.33,0.0,50,40,52.2,56.5,50.4,457.0,1355.0,2.293,0,74.7,77.7,72.5,465.9,386.1,86.0,150.4,663.0,65.0,17.0,2.237,6.487,432.8,15.534,84.9,81.1,17.771,101.5
18165.0,44,0.018000000000000002,0.02,3.057,1.283,0.0,49,38,51.3,56.1,48.7,443.6,566.1,1.001,0,75.7,77.7,72.7,445.3,403.6,86.0,58.5,266.6,59.0,346.0,1.79,6.711,166.4,17.274,75.9,75.6,17.585,101.5
45785.0,32,0.009000000000000001,0.011,3.3710000000000004,1.179,0.0,41,23,48.9,52.0,43.7,429.3,1988.0,3.315,0,81.9,87.1,76.1,488.1,401.9,86.0,205.3,967.0,58.0,49.0,2.908,9.619,675.9,19.884,91.0,88.7,17.709,101.5
45982.0,27,0.027000000000000003,0.031,3.512,1.162,0.0,31,23,48.6,53.8,45.3,424.8,1884.0,3.13,0,86.2,88.9,84.0,499.9,415.0,85.9,186.6,908.0,62.0,7.0,2.684,7.829,636.1,19.884,92.7,92.5,18.455,101.4
51909.0,24,0.026,0.03,3.443,1.087,0.0,30,18,46.8,52.9,41.9,424.7,1993.0,3.3,0,88.7,92.1,85.8,506.9,413.3,85.8,200.8,966.0,73.0,31.0,2.684,9.171,671.8,19.884,94.8,93.7,17.895,101.3
45267.0,22,0.028,0.032,3.188,0.984,0.0,27,17,44.1,51.8,41.2,425.0,1821.0,3.023,0,90.0,92.7,88.0,507.2,415.6,85.8,191.6,885.0,67.0,322.0,2.461,8.5,602.1,19.884,91.4,96.3,18.828,101.3
40934.0,21,0.026,0.029,2.762,1.002,0.0,25,17,44.6,51.8,40.8,426.6,1552.0,2.5980000000000003,0,90.5,91.9,89.2,505.1,415.7,85.7,175.4,759.6,76.0,304.0,2.013,7.3820000000000014,494.8,16.963,90.0,95.9,18.703,101.2
32886.0,20,0.021,0.024,2.1830000000000003,0.957,0.0,25,16,43.3,51.8,39.4,426.3,1213.0,2.072,0,90.7,92.7,89.4,497.9,410.3,85.6,149.6,600.2,69.0,248.0,1.5659999999999998,6.711,363.0,19.884,88.9,91.8,19.014,101.1
22095.0,22,0.017,0.019,1.516,0.932,0.0,29,14,42.6,53.8,36.3,427.4,822.0,1.46,0,89.6,92.3,78.8,473.8,401.5,85.6,107.5,413.8,61.0,283.0,1.79,9.619,234.0,19.884,85.3,79.3,19.138,101.1
10961.0,23,0.011,0.013,0.8200001,0.98,0.0,30,16,43.9,53.4,40.5,427.8,494.5,1.113,0,88.5,91.8,77.7,450.2,395.0,85.6,39.29,275.1,65.0,277.0,0.895,4.474,180.6,19.884,78.1,70.5,19.263,101.1
3885.0,22,0.006999999999999999,0.008,0.198,0.941,0.0,26,18,43.0,46.4,39.4,433.2,89.2,0.21,0,84.9,89.6,81.5,433.8,383.0,85.6,0.435,33.25,41.0,334.0,0.895,5.816,-17.92,19.884,70.5,67.8,19.822,101.1
3869.0,40,0.002,0.004,0.087,0.906,0.0,48,31,41.9,46.2,39.9,457.8,37.41,0.08900000000000001,0,68.7,72.5,65.3,403.8,377.7,85.9,6.063,20.93,55.0,81.0,3.579,14.316,-11.27,19.884,61.9,61.7,19.76,101.4
8364.0,43,0.003,0.005,0.6300001000000001,0.921,0.0,51,35,42.4,46.9,41.4,453.7,144.5,0.276,0,68.9,71.1,64.8,406.5,380.9,85.9,17.8,71.29,62.0,105.0,3.355,16.33,27.9,18.828,63.1,62.6,19.635,101.4
6817.0,46,0.005,0.006,1.321,1.073,0.0,54,37,46.4,49.5,42.6,469.3,106.6,0.202,0,67.6,71.4,64.9,407.6,387.5,86.0,11.45,48.87,55.0,59.0,2.908,14.093,17.39,19.884,63.7,63.1,19.138,101.5
11713.0,38,0.004,0.005,1.992,1.036,0.0,44,31,45.5,49.8,43.0,444.0,291.6,0.515,0,73.2,79.3,70.0,422.8,398.6,86.0,32.8,139.9,63.0,78.0,2.237,10.514,82.9,19.884,68.5,68.5,19.573,101.5
18908.0,28,0.006,0.006999999999999999,2.6010000000000004,0.945,0.0,31,25,43.2,45.0,41.7,422.5,593.6,1.022,0,81.0,82.0,77.9,440.6,410.1,86.0,63.55,281.3,71.0,166.0,3.355,12.303,187.2,19.884,73.9,73.2,19.387,101.5
13777.0,32,0.011,0.015,3.094,1.02,0.0,37,26,45.0,49.5,42.8,422.0,407.4,0.72,0,79.7,81.5,76.1,439.0,412.8,86.0,41.0,186.2,64.0,263.0,2.684,11.408,119.0,19.014,73.0,72.9,19.511,101.6
15869.0,34,0.009000000000000001,0.011,3.401,1.08,0.0,41,26,46.6,51.4,42.8,422.5,487.0,0.8440000000000001,0,78.8,81.0,75.6,440.3,417.6,86.0,50.29,225.9,77.0,329.0,2.461,12.303,152.8,19.822,73.8,73.6,19.511,101.6
22726.0,32,0.009000000000000001,0.011,3.517,1.111,0.0,37,28,47.3,52.2,44.6,419.2,684.5,1.2,0,80.4,81.7,79.3,449.1,423.8,86.0,72.52,324.9,70.0,45.0,3.579,15.659,227.1,19.884,76.6,75.6,19.511,101.5
36252.0,32,0.013,0.016,3.443,1.224,0.0,39,26,49.8,53.8,46.0,415.9,1350.0,2.289,0,82.6,85.6,79.7,479.2,424.2,85.9,140.7,643.6,77.0,357.0,1.79,8.277000000000001,447.9,19.884,86.7,86.4,18.828,101.5
35275.0,28,0.019,0.022,3.1660000000000004,1.182,0.0,31,24,48.9,53.6,46.0,418.2,1710.0,2.8160000000000003,0,85.3,87.3,82.9,493.7,417.0,85.9,176.1,819.0,85.0,136.0,2.461,10.737,565.7,19.822,89.8,91.2,18.89,101.4
40728.0,27,0.023,0.026,2.736,1.233,0.0,31,24,50.2,54.0,46.4,418.1,1575.0,2.611,0,86.7,88.0,84.7,495.5,415.5,85.8,175.1,762.6,84.0,157.0,2.237,8.724,507.4,19.2,89.2,91.8,18.268,101.2
28833.0,29,0.022,0.024,2.157,1.258,0.0,32,25,50.7,54.0,47.1,419.0,1009.0,1.711,0,86.2,88.2,82.8,479.9,414.1,85.7,119.1,489.7,68.0,270.0,2.013,6.711,304.8,19.884,83.7,86.4,18.703,101.2
25076.0,33,0.013,0.016,1.491,1.381,0.0,37,28,53.2,56.3,49.6,417.3,885.0,1.5590000000000002,0,84.9,87.1,80.4,463.7,413.3,85.7,108.8,439.1,68.0,302.0,2.908,10.961,279.9,19.884,80.4,78.3,18.828,101.2
11014.0,35,0.013,0.015,0.7970001,1.35,0.0,39,32,52.5,56.1,47.8,418.9,352.3,0.6990000000000001,0,81.5,83.5,79.2,439.5,405.7,85.8,38.45,181.1,66.0,304.0,3.132,13.198,108.9,19.884,72.5,71.2,18.952,101.3
