Solar_Power,rso,precip,rh_max,td_avg,airt_max,windd_avg,winds_max
52212,3.518,0,25,43.5,91,296,10.066
52593,3.472,0,20,40.3,91.8,293,10.737
42190,2.782,0,18,40.1,92.7,297,10.514
33399,2.202,0,19,38.1,92.5,277,10.066
22369,1.534,0,32,39.6,91.6,300,9.171
11111,0.8280001,0,22,40.5,91,279,4.25
3799,0.203,0,25,41.2,89.2,311,4.25
3510,0.09,0,42,39.9,65.3,117,15.211
8400,0.6390001,0,46,40.5,66.6,67,18.567
18935,1.332,0,40,41.9,72,134,11.632
30601,2.014,0,46,46.9,74.8,62,13.869
38145,2.603,0,50,52.2,77.7,17,6.487
18165,3.057,0,49,51.3,77.7,346,6.711
45785,3.371,0,41,48.9,87.1,49,9.619
45982,3.512,0,31,48.6,88.9,7,7.829
51909,3.443,0,30,46.8,92.1,31,9.171
45267,3.188,0,27,44.1,92.7,322,8.5
40934,2.762,0,25,44.6,91.9,304,7.382
32886,2.183,0,25,43.3,92.7,248,6.711
22095,1.516,0,29,42.6,92.3,283,9.619
10961,0.8200001,0,30,43.9,91.8,277,4.474
3885,0.198,0,26,43,89.6,334,5.816
3869,0.087,0,48,41.9,72.5,81,14.316
8364,0.6300001,0,51,42.4,71.1,105,16.33
6817,1.321,0,54,46.4,71.4,59,14.093
11713,1.992,0,44,45.5,79.3,78,10.514
18908,2.601,0,31,43.2,82,166,12.303
13777,3.094,0,37,45,81.5,263,11.408
15869,3.401,0,41,46.6,81,329,12.303
22726,3.517,0,37,47.3,81.7,45,15.659
36252,3.443,0,39,49.8,85.6,357,8.277
35275,3.166,0,31,48.9,87.3,136,10.737
40728,2.736,0,31,50.2,88,157,8.724
28833,2.157,0,32,50.7,88.2,270,6.711
25076,1.491,0,37,53.2,87.1,302,10.961
11014,0.7970001,0,39,52.5,83.5,304,13.198
5666,0.191,0,33,46.4,81.1,315,9.843
3512,0.083,0,49,44.2,66,56,21.251
8143,0.619,0,51,44.8,66.6,65,23.935
18399,1.307,0,52,46.6,71.2,56,14.316
30191,1.984,0,49,50.4,74.3,34,9.171
39543,2.577,0,48,52.3,77.4,345,6.263
44693,3.047,0,44,52.7,82.4,14,6.263
43579,3.359,0,39,52.7,86.2,314,6.935
43627,3.485,0,41,53.6,87.8,292,9.619
50435,3.408,0,31,51.1,89.4,296,9.171
43658,3.158,0,26,48.2,91,299,15.211
41977,2.736,0,24,43.7,91.9,297,12.974
32713,2.177,0,21,43,92.3,299,9.619
21843,1.509,0,25,43.9,91.2,300,7.829
10622,0.808,0,23,44.1,90,289,8.277
3464,0.19,0,32,44.8,87.8,296,8.724
3379,0.08000001,0,46,43.2,67.1,44,16.106
7940,0.613,0,46,43.5,67.3,38,16.106
18301,1.304,0,53,46.9,70.5,43,12.303
30264,1.977,0,54,51.1,73.4,348,7.606
39244,2.568,0,50,50.5,77.7,13,5.592
44430,3.052,0,42,50.5,81.9,1,8.053
42481,2.736,0,22,42.4,90.1,293,16.777
33635,2.178,0,21,41.2,89.8,302,10.961
22098,1.509,0,33,43.3,88.7,299,9.395
10806,0.804,0,28,45,87.4,287,6.935
3798,0.186,0,29,44.2,86.7,246,4.921
3483,0.07700001,0,47,40.8,63.3,69,14.54
8033,0.609,0,47,41.4,65.1,45,14.764
18211,1.301,0,52,43.2,69.3,47,12.303
30377,1.984,0,56,51.4,71.4,35,7.829
40287,2.562,0,56,51.6,75.2,15,7.382
44435,3.041,0,47,51.4,79,38,7.606
52145,3.501,0,36,48.4,86.2,310,6.487
48351,3.432,0,31,47.1,88.2,313,8.053
26431,3.174,0,26,44.2,88.7,323,10.737
41214,2.748,0,27,43.7,88.9,279,8.277
29065,2.17,0,22,41.2,90,302,8.724
22333,1.504,0,31,42.6,88.9,273,6.487
9546,0.799,0,37,43,87.4,287,4.921
4646,0.181,0,33,45.1,86.4,302,15.435
3613,0.07300001,0,50,42.4,62.2,61,12.303
9015,0.599,0,50,42.3,63.1,160,12.751
14412,1.292,0,48,42.4,68,40,14.764
30799,1.98,0,55,49.1,70,26,9.171
34746,2.566,0,53,50,73.4,23,7.382
44804,3.044,0,49,49.8,76.6,276,4.921
26354,3.363,0,42,48.9,80.2,12,7.382
30378,3.415,0,51,58.8,80.1,297,8.5
17690,3.32,0,53,57.9,79.5,285,4.698
35069,3.061,0,51,58.1,83.3,254,7.382
35923,2.626,0,42,54.7,84.9,347,7.158
27287,2.067,0,38,54.3,84.7,331,10.961
20629,1.4,0,46,53.2,84,355,9.171
9171,0.7090001,0,41,52.2,82.4,308,6.487
4328,0.126,0,43,54,81.5,325,6.263
3139,0.045,0.043,94,61.5,64,208,2.237
3751,0.494,0.028,94,61.2,64.4,337,3.579
6107,1.162,0.071,95,61.7,63.5,220,2.684
10090,1.835,0.016,94,62.2,65.5,233,2.013
15472,2.436,0,94,63,68.2,291,4.698
30256,2.911,0,92,63.1,73.4,269,5.369
41685,3.23,0,76,61.3,73.4,9,6.487
40201,3.373,0,64,59.7,78.6,15,7.158
53540,3.312,0,55,57,78.8,313,7.382
41165,2.638,0,49,54.3,81.1,284,5.592
32235,2.061,0,45,54.9,81.1,256,7.158
21091,1.39,0,48,55.9,80.8,283,4.921
10116,0.697,0,44,55.6,81.3,277,6.04
3648,0.12,0,52,54.7,79.5,276,3.132
3445,0.042,0,64,49.5,63.3,43,12.303
7399,0.498,0,64,48.6,63.1,47,11.632
17348,1.185,0,60,48.4,67.5,55,9.843
29518,1.876,0,59,50.7,72.3,43,8.948
39487,2.485,0,59,55.4,75.9,15,6.935
44703,2.951,0,51,55,79.5,36,6.263
52213,3.419,0,38,50.7,85.5,232,6.711
52265,3.361,0,35,50.5,86.9,292,10.066
28317,3.094,0,31,48.7,87.4,287,10.961
25898,2.66,0,34,45.7,87.6,146,6.04
30803,2.084,0,29,42.8,88.3,259,6.487
21098,1.414,0,33,39.4,88,263,4.698
10076,0.712,0,24,40.3,87.6,283,4.026
3605,0.115,0,24,38.5,84,12,10.066
43074,0,0,40,50.4,80.8,58,6.263
21344,1.776,0,61,52,68.4,39,7.829
22113,2.392,0,62,52.7,71.8,356,5.145
32698,2.883,0,53,52.5,75.7,9,5.816
8539,3.209,0.012,74,56.5,75.9,295,15.435
9664,3.316,0.055,82,58.1,65.5,127,9.171
15609,3.228,0.059,88,59.7,66.4,7,4.474
33902,2.946,0.004,81,59.4,71.2,2,7.382
39856,2.506,0,70,58.5,71.4,40,7.829
28884,1.923,0,65,57,72.1,19,7.829
18576,1.253,0,63,57,72.5,308,4.921
7582,0.563,0,71,57.4,70.2,229,4.474
3563,0.058,0,71,57.4,68.5,294,2.908
3234,0.017,0,75,50,59.4,106,14.093
6243,0.385,0,74,49.5,59.7,105,10.961
16431,1.069,0,70,49.6,63.3,77,15.659
29543,1.766,0,65,51.6,68.2,73,8.948
39534,2.386,0,62,54.7,71.2,14,6.487
45099,2.867,0,59,54,75.4,324,6.711
51825,3.196,0,50,52.2,77.9,299,8.277
52164,3.337,0,43,51.8,80.6,309,7.829
36750,2.538,0,36,50.4,83.3,270,9.619
41182,2.538,0,36,50.4,83.3,270,9.619
32406,1.944,0,35,50.4,83.3,295,9.843
20270,1.258,0,50,50.7,82.9,281,7.382
8478,0.557,0,40,50.2,81.5,286,4.698
3270,0.054,0,39,47.1,79.9,26,6.04
3537,0.015,0,71,48.4,63.1,161,3.355
4528,0.377,0,64,46.9,63,176,3.132
13478,1.064,0,55,45.1,65.8,113,11.632
27568,1.772,0,54,47.8,69.8,288,3.579
21827,2.394,0,56,49.8,70.2,269,4.921
36632,2.881,0,53,51.8,76.5,335,6.487
43776,3.199,0,44,49.1,81.7,316,6.711
52369,3.344,0,29,42.3,85.5,317,12.079
53123,3.303,0,25,40.8,85.3,285,14.764
41474,2.562,0,25,43,87.3,291,11.632
31820,1.957,0,25,41.7,87.6,301,9.395
19838,1.266,0,31,41.9,86.7,305,6.04
8738,0.554,0,33,42.8,86.4,211,3.132
3433,0.05,0,31,41.4,82,122,6.04
3262,0.013,0,36,37.2,70,69,13.645
6270,0.375,0,36,37.6,70.2,52,13.198
16838,1.074,0,50,40.5,67.5,57,7.382
29543,1.778,0,54,47.8,70,310,4.921
39540,2.386,0,47,46,73.9,312,4.921
45179,2.894,0,40,45.5,76.8,336,7.382
52148,3.226,0,38,46,78.3,312,8.277
53138,3.353,0,33,42.6,80.6,297,12.079
53225,3.292,0,32,40.5,81.1,291,9.843
42244,2.559,0,24,38.5,82.8,294,10.737
27747,1.959,0,22,36.7,81.9,297,11.185
20204,1.262,0,34,37.8,80.6,295,6.935
8427,0.544,0,24,35.2,79.2,293,9.619
3475,0.046,0,28,36.7,76.5,284,2.237
29852,1.774,0,51,41.7,65.1,220,10.29
40328,2.393,0,48,44.1,69.3,11,6.04
44949,2.885,0,45,44.8,72.7,22,7.829
52531,3.211,0,39,43.3,78.1,44,8.5
52655,3.348,0,31,39.4,81.5,8,7.158
45918,3.007,0,25,40.6,85.3,260,7.606
40363,2.536,0,28,40.1,86.2,308,12.751
31195,1.927,0,24,40.1,86.2,314,7.382
19277,1.226,0,33,41.4,84.9,289,6.487
6797,0.511,0,38,41,84.4,301,3.803
3385,0.039,0,28,35.8,80.4,57,6.263
3202,0.009000001,0,36,32.5,62.6,52,17.448
6153,0.347,0,36,33.3,62.8,51,15.211
16114,1.05,0,35,34.5,65.7,41,13.869
28831,1.766,0,53,42.8,67.6,50,6.263
38789,2.378,0,48,44.1,72,4,5.369
43989,2.876,0,42,43.2,76.8,358,5.369
43341,3.209,0,35,41.5,81,354,7.382
49071,3.347,0,29,40.6,83.3,326,6.04
48582,3.272,0,28,38.8,88,0,7.158
43092,2.997,0,25,39,88.5,284,8.724
39304,2.529,0,25,39.4,88.7,245,9.171
30536,1.916,0,22,40.5,88.7,286,7.606
18727,1.21,0,21,41.7,87.6,294,5.816
7721,0.497,0,26,42.3,86.2,274,4.25
3441,0.035,0,28,39.4,83.7,3,6.711
3132,0.008,0,38,36,64,81,19.014
6039,0.335,0,40,36.1,62.8,40,21.475
15994,1.034,0,45,37.8,65.3,71,12.751
28686,1.746,0,53,44.6,69.8,216,9.843
38678,2.361,0,50,47.3,73.2,257,5.145
44509,2.851,0,42,47.7,79.2,304,5.592
44866,2.978,0,24,40.6,88.7,295,10.29
40078,2.509,0,26,42.3,88.9,287,9.395
30516,1.892,0,21,41.2,88.3,300,8.948
19089,1.193,0,21,39.7,87.4,301,10.066
7452,0.483,0,23,39.6,86.5,298,4.698
3422,0.032,0,27,39.7,82.8,349,7.158
3199,0.007,0,44,37.2,62.2,47,8.948
5974,0.325,0,45,37.4,61.3,53,9.171
16002,1.021,0,45,38.7,64.8,107,6.711
28537,1.733,0,42,39.9,69.8,37,4.698
38748,2.37,0,42,42.6,75.7,339,7.382
44613,2.863,0,29,37.8,78.3,34,10.514
49564,3.217,0,28,37.6,80.6,12,10.066
52477,3.348,0,28,38.3,82,57,9.619
44744,2.968,0,27,40.3,84.2,293,8.277
39666,2.497,0,27,39.9,85.3,296,10.961
30304,1.885,0,25,40.1,85.1,295,9.395
18045,1.18,0,29,42.6,84,276,8.5
7486,0.465,0,31,41.9,82,266,5.592
3353,0.029,0,32,41,79,299,6.711
3086,0.006,0,43,36.3,60.3,70,10.737
6047,0.315,0,44,36.1,59.7,82,17.224
16034,1.013,0,44,36.9,62.4,59,14.316
28921,1.728,0,47,41.4,68.4,51,7.382
38640,2.354,0,46,43.2,72.7,307,5.145
41030,2.852,0,33,33.8,77,42,6.263
52302,3.355,0,26,35.1,80.6,151,6.263
